Βαλένθια,Λυών,3-2, 2.28 , 3 , 2.88 ,1.29,2.81,20:27
VascoBlues,Σεβίλλη,3-0, 2.44 , 2.76 , 2.87 ,1.29,2.81,20:24
Βιγιαρεάλ,Ghent,1-1, 2.09 , 3 , 3.2 ,1.52,2.12,20:21
Ναντ,Basaksehir,1-2, 2.52 , 2.45 , 3.2 ,1.52,2.11,20:18
TorinoJuve,DoriaBlues,2-0, 1.79 , 3.85 , 3.3 ,1.51,2.15,20:15
CelticGreens,Anderlecht,1-1, 2.04 , 3.25 , 3.15 ,1.43,2.33,20:09
BetisGreens,Μπαρτσελόνα,1-1, 2.73 , 2.31 , 3.1 ,1.46,2.25,20:06
Ντόρτμουντ,Φράιμπουργκ,3-0, 2.18 , 2.91 , 3.15 ,1.48,2.21,20:03
ΚίτρινοιΒορρά,Ιωάννινα,0-1, 2.05 , 3.2 , 3.1 ,1.42,2.34,19:57
SportingLions,Lipsia,0-2, 2.66 , 2.39 , 3.05 ,1.43,2.33,19:51
Μονακό,Λέστερ,3-0, 2.47 , 2.57 , 3.05 ,1.43,2.33,19:48
NisCity,Λυών,0-2, 2.47 , 2.57 , 3.05 ,1.43,2.33,19:45
ΔικέφαλοςΒορρά,Σάλτσμπουργκ,1-0, 2.65 , 2.4 , 3.05 ,1.43,2.33,19:36
FCBrugge,Μαρσέιγ,0-1, 2.32 , 2.75 , 3.05 ,1.42,2.34,19:30
Ρέιντζερς,FCBergamo,0-2, 2.64 , 2.37 , 3.15 ,1.48,2.19,19:24
Νότινγχαμ,Μπόρνμουθ,1-2, 2.44 , 2.54 , 3.15 ,1.49,2.18,19:21
Μπρέντφορντ,Leeds,0-1, 2.58 , 2.49 , 3.05 ,1.4,2.42,19:18
ΔικέφαλοςΒορρά,Ένωση,3-1, 2.17 , 2.87 , 3.25 ,1.54,2.08,19:15
Ρόμα,Κάλιαρι,2-1, 1.93 , 3.45 , 3.25 ,1.48,2.19,19:06
Τορίνο,SassuoloFC,1-0, 2.31 , 2.76 , 3.05 ,1.43,2.33,19:03
FeyenordReds,Μάριμπορ,2-0, 2.21 , 2.81 , 3.2 ,1.52,2.11,19:00
Ρόμα,BetisGreens,1-0, 2.1 , 3 , 3.2 ,1.51,2.13,18:57
FCBrugge,Μιλάνο,1-1, 2.37 , 2.61 , 3.2 ,1.52,2.13,18:54
GalataLions,InterBlues,1-1, 2.81 , 2.23 , 3.15 ,1.49,2.18,18:51
ShakhtarUnited,Λυών,0-3, 2.33 , 2.8 , 2.99 ,1.37,2.51,18:48
WolvesCity,Φούλαμ,2-1, 2.31 , 2.71 , 3.15 ,1.48,2.19,18:42
Περιστέρι,Πράσινοι,2-1, 2.61 , 2.35 , 3.2 ,1.55,2.06,18:39
Real,Βαλένθια,2-0, 1.79 , 3.85 , 3.3 ,1.51,2.15,18:33
MadridAthletes,Ρέιντζερς,0-1, 2.16 , 2.92 , 3.15 ,1.48,2.19,18:27
ΚρίσταλΠάλας,Έβερτον,1-1, 2.54 , 2.47 , 3.1 ,1.46,2.25,18:24
Τσέλσι,Λέστερ,0-3, 2.18 , 2.97 , 3.1 ,1.42,2.34,18:21
Ναντ,BetisGreens,0-1, 2.52 , 2.45 , 3.2 ,1.52,2.11,18:18
Νάπολι,InterBlues,1-1, 2.26 , 2.82 , 3.1 ,1.45,2.28,18:15
Ντόρτμουντ,Μαρσέιγ,1-1, 2.12 , 3.1 , 3.05 ,1.39,2.43,18:12
Plzen,Rennais,3-2, 2.21 , 2.81 , 3.2 ,1.52,2.11,18:09
Παρί,TorinoJuve,1-0, 2.31 , 2.67 , 3.2 ,1.54,2.08,18:06
Ναντ,Rennais,2-1, 2.55 , 2.46 , 3.1 ,1.46,2.26,18:00
Basaksehir,Περιστέρι,2-1, 2.16 , 2.93 , 3.15 ,1.49,2.19,17:57
Μονακό,MunichReds,1-1, 2.94 , 2.17 , 3.15 ,1.46,2.25,17:54
Λυών,Laziali,1-0, 2.16 , 2.99 , 3.1 ,1.43,2.33,17:48
Ιωάννινα,Ερυθρόλευκοι,1-2, 2.91 , 2.15 , 3.2 ,1.52,2.12,17:45
SportingLions,Frankfurt,2-1, 2.36 , 2.61 , 3.2 ,1.52,2.12,17:42
